RPS20
MRPS10
MRPS35
MRPS34
RPS5
MRPL28
RPL6
RPS18
RPL3
RPS19
RPL18A
MRPL32
RPL19
MRPL27
RPS13
RPLP0
MRPL51
RPS12
MRPL2
MRPS30
RPS15
RPL22
MRPS2
RPS29
MRPS7
RPL23
RPS4Y1
RPS16
MRPL34
MRPL4
MRPS25
RPL27
MRPL35
MRPS36
MRPL53
MRPL44
MRPS9
MRPL47
MRPS18B
MRPL15
RPLP1
MRPS27
RPL8
RPL31
MRPL3
RPL26L1
MRPL22
RPL3L
RPS11
RPL21
RPS27A
MRPS5
RPL32
RPS3A
RPL37
MRPS28
RPS3
MRPL49
FAU
MRPS17
RPL30
MRPL17
MRPL10
RPL26
RPL29
MRPL55
MRPS18C
RPL9
MRPL33
RPL39L
RPS23
RPL10L
RPL36AL
MRPL43
MRPL16
RPS9
RPL7L1
RPS7
MRPL13
MRPL39
RPL15
RPL4
MRPS12
MRPL38
MRPL57
MRPL48
MRPS22
MRPL11
RPL38
MRPL52
RPS14
MRPL46
MRPS23
RPL27A
RPS6
MRPL1
RPL7A
RPL5
RPS4X
MRPS24
RPLP2
RPL10A
RPS15A
MRPS31
MRPS33
MRPS11
RPS10
RPL35A
MRPL54
RPS17
RPS27L
MRPL40
MRPL12
MRPL37
MRPL30
RPL14
DAP3
RPS2
RPS21
RPL28
RPL10
MRPL20
RPL36
RPL35
RPL7
RPL23A
RPS26
MRPL42
MRPL19
RPL41
RPL37A
RPS24
RPL12
MRPL24
RPL39
MRPL21
MRPL18
MRPS14
RPS27
MRPL9
MRPL41
MRPL14
MRPS18A
RPS8
RPL36A
MRPS16
MRPS15
RPL11
MRPL50
MRPS26
MRPL23
MRPL36
RPL13A
RPL24
RPL34
MRPS6
RPS28
UBA52
RPS25
RPL17
MRPS21
MRPL45
RPS4Y2
