Rpl13
Rps11
Rpl8
Rps5
Rps9
Rplp1
Rps18
Rpl10
Rpl30
Rpl19
Rpl24
Rps10
Rps14
Rps26
Rpl6
Rpl28
Rps3
Rps4x
Rpl4
Rpsa
Rpl21
Rps29
Rpl10a
Rpl37
Rps23
Rpl27a
Rpl18a
Rps2
Rpl9
Rpl7
Rps21
Rpl29
Rpl37a
Rpl34
Rps15
Rpl18
Rpl26
Rps12
Rps7
Rpl27
Rpl38
Rpl35a
Rpl15
Rpl17
Rps25
Rpl36
Rps17
Rpl35
Rpl3
Rpl32
Rps16
Rpl5
Rplp2
Rplp0
Rpl31
Rps28
Rpl23a
Rpl11
Rps8
Rpl12
Rps6
Rps27a
Rpl7a
Rps20
Rpl23
Rpl22
Rps15a
Rps19
Rps24
Rpl39
Rpl13a
Rpl14
Rps27
Rps13
Rpl41
