ND3
ND4L
ND4
ND1
ND2
ND5
COX1
ND6
COX2
CYTB
ATP8
ATP6
COX3
MT-TL1
MT-TF
MT-TV
MT-RNR2
MT-TI
MT-TQ
MT-TM
MT-TW
MT-TA
MT-TN
MT-TC
MT-TY
MT-TS1
MT-TD
MT-TK
MT-TG
MT-TR
MT-TH
MT-TS2
MT-TL2
MT-TE
MT-TT
MT-TP
MT-RNR1
